Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-08-08,379.55,393.41,376.36,391.17,0
2020-08-09,391.2,400.32,384.32,389.39,0
2020-08-10,389.39,399.93,386.88,393.93,0
2020-08-11,393.91,398.32,367.29,373.78,0
2020-08-12,373.79,389.48,366.5,382.7,0
2020-08-13,382.8,421.41,377.68,418.93,0
2020-08-14,419,444.44,418.76,438.04,0
2020-08-15,438.06,443.05,429.2,433.05,0
2020-08-16,433.26,436.8,413.06,431.4,0
2020-08-17,431.42,446.54,420.73,439.06,0
2020-08-18,439,439.97,415.8,427.51,0
2020-08-19,427.53,428.22,394.73,405.6,0
2020-08-20,405.57,419.04,402.65,416.27,0
2020-08-21,416.25,418.78,385.43,388.42,0
2020-08-22,388.51,394.91,379.86,393.58,0
2020-08-23,393.69,397.11,383.61,393.38,0
2020-08-24,393.38,408.5,387.79,406.54,0
2020-08-25,406.63,410.38,370.42,379.17,0
2020-08-26,379.2,393.25,377.82,388.25,0
2020-08-27,388.25,396.96,371.74,382.09,0
2020-08-28,382.33,397.92,379.32,394.58,0
2020-08-29,394.59,405.8,391.17,404.86,0
2020-08-30,404.85,427.95,398.57,421.98,0
2020-08-31,421.99,439.06,418.61,431.05,0
2020-09-01,431.1,485.79,429.85,483.66,0
2020-09-02,483.44,488.52,422.12,438.2,0
2020-09-03,438.22,450.68,392.11,401.76,0
2020-09-04,402.43,403.96,364.86,389.03,0
2020-09-05,388.96,394.55,311.11,331.24,0
2020-09-06,330.99,360.25,316.82,357.63,0
2020-09-07,357.62,358.52,323.67,345.12,0
2020-09-08,345.07,356.42,331.43,338.34,0
2020-09-09,338.4,359.14,325.87,353.96,0
2020-09-10,353.9,377.49,350.73,367.23,0
2020-09-11,367.22,372.27,356.26,369.9,0
2020-09-12,369.92,386.91,365.31,383.97,0
2020-09-13,384.01,389.46,354.08,363.46,0
2020-09-14,363.44,384.07,356.3,378.5,0
2020-09-15,378.67,382.38,362.64,367.92,0
2020-09-16,368.04,373.3,355.33,366.96,0
2020-09-17,367,394.17,363.63,392.68,0
2020-09-18,392.72,393.06,375.77,382.16,0
2020-09-19,382.34,388.21,377.45,385.38,0
2020-09-20,385.4,385.76,365.96,369.99,0
2020-09-21,370.19,376.3,332.81,348.39,0
2020-09-22,348.46,348.53,335.93,346.52,0
2020-09-23,346.53,346.57,315.04,322.9,0
2020-09-24,322.85,349.14,317.23,346.05,0
2020-09-25,346.05,358.01,338.12,357.35,0
2020-09-26,357.35,357.76,346.73,353.19,0
2020-09-27,353.01,362.13,347.85,353.29,0
2020-09-28,353.35,367.82,353.35,363.63,0
2020-09-29,363.63,363.64,350.64,357.67,0
2020-09-30,357.67,360.59,351.66,357.22,0
2020-10-01,357.22,369.18,345.94,351.32,0
2020-10-02,351.21,354.23,334.79,342.13,0
2020-10-03,342.12,351.26,342.12,349.21,0
2020-10-04,349.19,354.5,344.32,351.86,0
2020-10-05,351.82,355.68,349,352.62,0
2020-10-06,352.62,355.22,337,339.19,0
2020-10-07,339.2,342.7,333.38,340.01,0
2020-10-08,340.22,353.14,334.38,350.21,0
2020-10-09,350.2,366.26,347.87,364.37,0
2020-10-10,364.37,378.43,364.2,375.37,0
2020-10-11,375.43,377.37,369.32,373.01,0
2020-10-12,373.03,393.09,365.91,392.71,0
2020-10-13,392.69,395.2,374.94,382.87,0
2020-10-14,382.96,387.6,373.65,375.81,0
2020-10-15,375.8,381.1,370.4,378.54,0
2020-10-16,378.46,379.89,361.57,366.54,0
2020-10-17,366.53,370.57,363.75,367.62,0
2020-10-18,367.63,377.33,367.5,376.18,0
2020-10-19,376.16,384.35,373.08,379.55,0
2020-10-20,379.55,380.81,366.17,370.14,0
2020-10-21,370.12,399.65,367.86,396.21,0
2020-10-22,396.05,419.7,390.84,419.13,0
2020-10-23,418.72,421.18,402,408.75,0
2020-10-24,408.74,416.84,407.5,410.35,0
2020-10-25,410.33,417.62,403.71,406.32,0
2020-10-26,406.33,411.37,382.94,392.2,0
2020-10-27,392.25,410.1,390.4,405.11,0
2020-10-28,405.31,409.27,381.07,387.95,0
2020-10-29,387.93,393.86,380.99,383.76,0
2020-10-30,383.84,392.01,374.13,383.5,0
2020-10-31,383.46,393.68,380.84,388.64,0
2020-11-01,388.65,397.38,385.04,395.47,0
2020-11-02,395.45,404.3,378.67,383.12,0
2020-11-03,383.3,388.68,370.87,388.09,0
2020-11-04,388.18,408.5,377.38,401.74,0
2020-11-05,401.72,418.26,397.11,418.26,0
2020-11-06,418.27,456.96,414.39,456.11,0
2020-11-07,456.11,468.02,426.27,437.39,0
2020-11-08,437.26,459.94,432.93,455.05,0
2020-11-09,454.95,458.66,434.62,442.93,0
2020-11-10,443,455.07,439.49,454.08,0
2020-11-11,454.14,476.55,449.95,466.58,0
2020-11-12,466.57,470.32,452.75,462.43,0
2020-11-13,462.6,477.96,458.19,476.59,0
2020-11-14,476.59,477.75,452.46,462.12,0
2020-11-15,462.21,463.64,440.54,446.6,0
2020-11-16,446.67,465.96,446.07,461.5,0
2020-11-17,461.25,484.7,460.33,480.72,0
2020-11-18,480.71,495.02,459.2,480.23,0
2020-11-19,480.28,480.99,465.34,472.5,0
2020-11-20,472.45,514.3,469.4,508.35,0
2020-11-21,508.36,546.89,503.16,542.24,0
2020-11-22,542.28,580.99,513.84,573.53,0
2020-11-23,570.32,610.72,550.58,609.29,0
2020-11-24,610.03,622.4,592.9,603.03,0
2020-11-25,603.17,606.07,563.45,569.49,0
2020-11-26,569.49,576.91,484.63,521.4,0
2020-11-27,521.43,531.01,495.02,514.53,0
2020-11-28,514.39,548.24,507.37,542.82,0
2020-11-29,542.77,572.52,531.36,570.73,0
2020-11-30,570.82,614.6,570.82,609.8,0
2020-12-01,609.77,635.94,567.51,591.03,0
2020-12-02,591.47,604.27,576.9,597.59,0
2020-12-03,597.26,623.44,587.07,616.67,0
2020-12-04,616.65,620.49,566.14,568.96,0
2020-12-05,569.46,597.21,561.45,591.23,0
2020-12-06,591.22,607.34,583.79,593.55,0
2020-12-07,593.54,603.66,584.93,591,0
2020-12-08,591,595.14,555.78,555.78,0
2020-12-09,555.65,577.78,530.87,577.01,0
2020-12-10,576.37,577.08,548.72,563.25,0
2020-12-11,563.25,564.35,536.24,550.67,0
2020-12-12,550.57,574.01,543.52,571.6,0
2020-12-13,571.67,595.05,563.91,588.62,0
2020-12-14,588.64,592.88,575.94,588.21,0
2020-12-15,588.39,596.7,580.1,588.63,0
2020-12-16,588.67,635.23,581.32,634.98,0
2020-12-17,635.17,675.7,627.65,645.57,0
2020-12-18,645.43,664.18,629.99,651.79,0
2020-12-19,651.8,669.65,646.56,663.87,0
2020-12-20,663.8,663.8,621.9,635.82,0
2020-12-21,635.65,647.8,596.6,617.46,0
2020-12-22,617.45,633.71,588.2,629.65,0
2020-12-23,629.96,638.24,552.92,583.82,0
2020-12-24,583.69,614.62,566.07,612.44,0
2020-12-25,612.67,633.8,604.49,621.86,0
2020-12-26,621.88,651.85,616,633.46,0
2020-12-27,633.57,713.81,625.92,686.38,0
2020-12-28,686.4,746.88,681.38,725.51,0
2020-12-29,725.79,739.33,689.42,728.62,0
2020-12-30,728.66,757.79,717.96,745.76,0
2020-12-31,745.48,755.65,723.73,740.92,0
2021-01-01,741.6,749.7,717.48,730.81,0
2021-01-02,730.86,788.27,716.78,772.68,0
2021-01-03,772.7,996.63,765.65,993.13,0
2021-01-04,992.82,1163.36,894.1,1014.43,0
2021-01-05,1012.8,1132.9,975.77,1112.74,0
